Energy,NA,Carbon,Aluminum,Copper,Tin,Tungsten,Lead
0,0,0,0,0,0,0,0
0.000459116,0,0,0,0,0,0,0
0.000918232,0,0,0,0,0,0,0
0.001377348,0,0,0,0,0,0,0
0.001836464,0,0,0,0,0,0,0
0.00229558,0,0,0,0,0,0,0
0.002754695,0,0,0,0,0,0,0
0.003213811,0,0,0,0,0,0,0
0.003672927,0,0,0,0,0,0,0
0.004132043,0,0,0,0,0,0,0
0.004591159,0,0,0,0,0,0,0
0.005050275,0,0,0,0,0,0,0
0.005509391,0,0,0,0,0,0,0
0.005968507,0,0,0,0,0,0,0
0.006427623,0,0,0,0,0,0,0
0.006886739,0,0,0,0,0,0,0
0.007345854,0,0,0,0,0,0,0
0.00780497,0,0,0,0,0,0,0
0.008264086,0,0,0,0,0,0,0
0.008723202,0,0,0,0,0,0,0
0.009182318,0,0,0,0,0,0,0
0.009641434,0,0,0,0,0,0,0
0.01010055,0,0,0,0,0,0,0
0.010559666,0,0,0,0,0,0,0
0.011018782,0,0,0,0,0,0,0
0.011477898,0,0,0,0,0,0,0
0.011937014,0,0,0,0,0,0,0
0.012396129,0,0,0,0,0,0,0
0.012855245,0,0,0,0,0,0,0
0.013314361,0,0,0,0,0,0,0
0.013773477,0,0,0,0,0,0,0
0.014232593,0,0,0,0,0,0,0
0.014691709,0,0,0,0,0,0,0
0.015150825,0,0,0,0,0,0,0
0.015609941,0,0,0,0,0,0,0
0.016069057,0,0,0,0,0,0,0
0.016528173,0,0,0,0,0,0,0
0.016987289,0,0,0,0,0,0,0
0.017446404,0,0,0,0,0,0,0
0.01790552,0,0,0,0,0,0,0
0.018364636,0,0,0,0,0,0,0
0.018823752,0,0,0,0,0,0,0
0.019282868,0,0,0,0,0,0,0
0.019741984,0,0,0,0,0,0,0
0.0202011,0,0,0,0,0,0,0
0.020660216,0,0,0,0,0,0,0
0.021119332,0,0,0,0,0,0,0
0.021578448,0,0,0,0,0,0,0
0.022037563,0,0,0,0,0,0,0
0.022496679,0,0,0,0,0,0,0
0.022955795,0,0,0,0,0,0,0
0.023414911,0,0,0,0,0,0,0
0.023874027,0,0,0,0,0,0,0
0.024333143,0,0,0,0,0,0,0
0.024792259,0,0,0,0,0,0,0
0.025251375,0,0,0,0,0,0,0
0.025710491,0,0,0,0,0,0,0
0.026169607,0,0,0,0,0,0,0
0.026628723,0,0,0,0,0,0,0
0.027087838,0,0,0,0,0,0,0
0.027546954,235,34,49,8,15,1,43
0.02800607,892,226,298,251,122,189,209
0.028465186,937,256,286,215,72,231,210
0.028924302,889,245,258,133,46,163,189
0.029383418,960,296,327,211,139,238,178
0.029842534,1031,358,387,262,159,238,246
0.03030165,1022,337,317,270,156,227,238
0.030760766,1013,337,246,179,120,231,232
0.031219882,1018,312,355,220,153,235,192
0.031678998,965,335,324,270,126,225,243
0.032138113,988,270,261,242,124,146,161
0.032597229,989,330,365,259,147,220,234
0.033056345,1103,402,420,318,217,219,313
0.033515461,1078,417,453,311,184,264,220
0.033974577,1098,435,507,344,179,247,257
0.034433693,1178,528,505,387,295,332,349
0.034892809,1128,399,459,363,214,247,275
0.035351925,1161,426,529,367,309,263,295
0.035811041,1223,499,531,417,251,286,309
0.036270157,1255,587,587,516,365,336,365
0.036729272,1207,584,603,497,403,357,331
0.037188388,1285,580,565,522,387,386,378
0.037647504,1324,630,615,481,360,351,338
0.03810662,1397,700,747,596,411,409,418
0.038565736,1397,625,651,614,338,346,380
0.039024852,1617,739,735,691,421,386,368
0.039483968,1713,788,854,683,478,508,418
0.039943084,1897,872,916,738,529,491,496
0.0404022,1872,941,939,894,644,535,578
0.040861316,2156,993,1109,987,683,684,582
0.041320432,2011,978,1017,892,600,612,494
0.041779547,2202,987,1081,957,634,583,507
0.042238663,2275,1094,1157,958,688,656,663
0.042697779,2320,1131,1129,982,630,711,595
0.043156895,2435,1065,1105,1001,682,653,624
0.043616011,2466,1058,1123,971,641,708,602
0.044075127,2538,1201,1177,989,723,674,680
0.044534243,2523,1201,1304,1106,802,776,750
0.044993359,2410,1105,1169,1076,675,660,559
0.045452475,2482,1207,1247,1074,672,679,676
0.045911591,2422,1112,1179,1006,657,664,631
0.046370707,2541,1168,1219,1003,734,646,702
0.046829822,2406,1085,1091,931,643,641,591
0.047288938,2359,1109,1110,1039,688,690,664
0.047748054,2445,1175,1131,1013,714,703,667
0.04820717,2556,1306,1218,1095,790,737,790
0.048666286,2410,1206,1183,1022,725,722,640
0.049125402,2358,1214,1125,980,735,683,626
0.049584518,2264,1183,1124,1103,687,673,610
0.050043634,2148,1178,1174,1078,691,679,624
0.05050275,2468,1222,1310,1030,827,785,690
0.050961866,2438,1248,1316,1159,763,767,730
0.051420981,2295,1208,1203,1111,724,699,637
0.051880097,2330,1239,1240,1069,828,724,626
0.052339213,2321,1159,1252,948,662,669,558
0.052798329,2309,1298,1255,1054,760,742,676
0.053257445,2344,1330,1234,1097,756,778,696
0.053716561,2374,1287,1278,1102,829,822,753
0.054175677,2249,1293,1156,985,726,681,600
0.054634793,2291,1340,1199,949,708,609,572
0.055093909,2266,1261,1279,1149,736,730,683
0.055553025,2335,1355,1424,1177,856,912,711
0.056012141,2343,1353,1248,1048,788,887,647
0.056471256,2237,1360,1288,1100,711,1074,637
0.056930372,2328,1433,1394,1120,824,1291,681
0.057389488,2393,1439,1390,1137,808,1561,672
0.057848604,2316,1430,1350,1104,811,1695,697
0.05830772,2261,1535,1450,1175,773,1782,682
0.058766836,2329,1547,1519,1226,833,1633,749
0.059225952,2208,1544,1422,1098,784,1526,726
0.059685068,2238,1480,1571,1189,804,1675,757
0.060144184,2144,1565,1436,1182,752,1569,673
0.0606033,2101,1627,1519,1170,792,1446,748
0.061062416,2209,1800,1745,1261,887,1549,769
0.061521531,2205,1798,1614,1292,840,1534,800
0.061980647,2224,1774,1810,1226,880,1522,819
0.062439763,2269,1886,1771,1354,926,1621,846
0.062898879,2276,1900,1882,1444,979,1641,963
0.063357995,2170,1871,1793,1314,931,1633,883
0.063817111,2271,1838,1882,1348,936,1657,924
0.064276227,2163,1950,1839,1354,929,1533,890
0.064735343,2170,1966,1753,1257,876,1412,905
0.065194459,2284,1882,1915,1298,965,1344,879
0.065653575,2257,1859,1761,1350,974,1300,1032
0.06611269,2245,1855,1773,1341,1021,1182,993
0.066571806,2246,1863,1830,1392,967,1246,990
0.067030922,2228,1700,1746,1330,928,1144,939
0.067490038,2272,1792,1679,1249,991,1118,1073
0.067949154,2334,1862,1722,1331,999,1196,1232
0.06840827,2166,1719,1579,1320,890,1082,1397
0.068867386,2234,1643,1632,1300,866,1004,1427
0.069326502,2260,1686,1719,1334,1020,1154,1745
0.069785618,2203,1622,1616,1355,934,993,1989
0.070244734,2289,1590,1640,1345,893,958,2279
0.07070385,2292,1596,1569,1332,914,852,2239
0.071162965,2176,1558,1558,1314,872,662,2063
0.071622081,2194,1462,1507,1279,832,641,1977
0.072081197,2296,1522,1546,1238,927,680,1919
0.072540313,2240,1371,1457,1195,853,536,1894
0.072999429,2305,1446,1416,1206,836,580,1863
0.073458545,2279,1360,1390,1104,788,592,1638
0.073917661,2136,1373,1429,1138,764,531,1656
0.074376777,2174,1359,1349,1097,788,610,1656
0.074835893,2169,1245,1266,1071,735,471,1551
0.075295009,2148,1163,1255,1096,676,446,1450
0.075754124,2286,1227,1323,1131,746,523,1345
0.07621324,2288,1232,1275,1014,678,437,1239
0.076672356,2304,1303,1323,1049,729,473,1167
0.077131472,2382,1290,1355,1179,779,529,1014
0.077590588,2409,1231,1328,1144,811,522,1070
0.078049704,2318,1141,1161,966,675,437,1057
0.07850882,2372,1327,1311,1121,723,508,1127
0.078967936,2361,1296,1364,1161,722,475,1101
0.079427052,2407,1323,1326,1142,710,471,1161
0.079886168,2508,1330,1301,1132,756,511,1155
0.080345284,2308,1288,1245,977,603,405,1030
0.080804399,2453,1221,1200,1166,706,443,1118
0.081263515,2374,1279,1321,1100,662,389,979
0.081722631,2629,1310,1301,1200,784,502,1041
0.082181747,2565,1343,1369,1140,756,468,920
0.082640863,2603,1258,1222,1133,629,451,935
0.083099979,2600,1335,1344,1155,802,514,916
0.083559095,2698,1304,1343,1097,676,396,915
0.084018211,2780,1203,1249,1037,694,422,772
0.084477327,2738,1299,1305,1106,716,503,705
0.084936443,2932,1265,1359,1166,676,464,568
0.085395559,3055,1260,1238,1140,637,450,502
0.085854674,3417,1287,1342,1174,677,418,521
0.08631379,3770,1278,1283,1112,680,379,419
0.086772906,4107,1222,1171,1037,578,345,335
0.087232022,4227,1259,1391,1170,720,450,405
0.087691138,4343,1342,1370,1174,766,478,411
0.088150254,4959,1307,1384,1073,613,399,353
0.08860937,5320,1216,1266,1078,606,380,292
0.089068486,5782,1370,1372,1199,744,509,462
0.089527602,5588,1237,1334,1042,633,340,262
0.089986718,5692,1259,1332,1164,734,411,378
0.090445833,5512,1256,1316,1079,650,444,311
0.090904949,5398,1268,1315,1131,617,450,363
0.091364065,5177,1279,1382,1212,684,528,350
0.091823181,5174,1265,1336,1144,710,432,329
0.092282297,4764,1298,1254,1162,614,404,331
0.092741413,4623,1422,1346,1212,708,440,371
0.093200529,4365,1484,1537,1312,806,559,464
0.093659645,3893,1381,1464,1278,735,520,427
0.094118761,3859,1399,1469,1259,753,533,399
0.094577877,3589,1346,1351,1055,621,316,272
0.095036993,3306,1475,1408,1276,702,447,368
0.095496108,2903,1331,1375,1184,743,450,359
0.095955224,2313,1282,1377,1145,641,387,342
0.09641434,2274,1392,1470,1295,751,478,379
0.096873456,2361,1439,1482,1312,799,506,461
0.097332572,2266,1445,1473,1312,806,536,449
0.097791688,2333,1455,1561,1343,764,464,449
0.098250804,2442,1429,1496,1386,787,498,450
0.09870992,2601,1353,1373,1286,707,346,334
0.099169036,2756,1443,1557,1322,747,461,370
0.099628152,2874,1413,1422,1318,806,470,473
0.100087268,2672,1454,1465,1324,697,463,354
0.100546383,2666,1385,1400,1341,641,455,391
0.101005499,2704,1303,1457,1392,696,333,362
0.101464615,2808,1456,1443,1365,749,501,437
0.101923731,2841,1484,1542,1372,833,546,456
0.102382847,2633,1418,1379,1250,613,447,371
0.102841963,2683,1388,1576,1364,767,489,394
0.103301079,2540,1402,1575,1348,781,493,346
0.103760195,2532,1477,1618,1402,772,491,389
0.104219311,2540,1549,1508,1354,737,514,477
0.104678427,2394,1498,1487,1376,794,507,459
0.105137542,2153,1397,1462,1360,751,441,375
0.105596658,2017,1534,1493,1448,801,554,406
0.106055774,1869,1389,1508,1319,749,419,318
0.10651489,1835,1472,1533,1552,917,529,446
0.106974006,1805,1525,1705,1403,854,609,432
0.107433122,1764,1460,1609,1449,748,510,364
0.107892238,1745,1529,1621,1374,827,559,449
0.108351354,1501,1486,1506,1436,685,484,398
0.10881047,1587,1598,1584,1560,887,528,449
0.109269586,1648,1511,1573,1459,967,605,549
0.109728702,1425,1503,1568,1491,890,567,459
0.110187817,1485,1519,1581,1409,901,490,428
0.110646933,1513,1569,1527,1458,899,600,436
0.111106049,1507,1580,1620,1364,861,574,460
0.111565165,1468,1504,1547,1479,905,553,452
0.112024281,1536,1542,1574,1483,874,570,457
0.112483397,1560,1536,1638,1413,924,618,530
0.112942513,1401,1530,1549,1442,790,515,457
0.113401629,1543,1545,1608,1541,902,632,525
0.113860745,1359,1426,1479,1431,808,523,397
0.114319861,1445,1503,1643,1475,878,551,510
0.114778977,1533,1490,1474,1403,811,483,448
0.115238092,1348,1460,1524,1528,776,533,451
0.115697208,1282,1368,1465,1418,842,526,450
0.116156324,1617,1676,1656,1646,1012,632,587
0.11661544,1443,1511,1582,1447,870,567,504
0.117074556,1485,1591,1596,1492,909,509,483
0.117533672,1322,1425,1523,1373,874,460,413
0.117992788,1467,1456,1504,1593,860,483,435
0.118451904,1381,1508,1570,1457,780,528,452
0.11891102,1319,1297,1463,1305,719,443,358
0.119370136,1494,1482,1538,1553,895,564,481
0.119829251,1491,1504,1574,1490,893,530,473
0.120288367,1585,1610,1581,1490,964,616,593
0.120747483,1392,1424,1431,1435,739,525,399
0.121206599,1449,1413,1463,1489,874,551,426
0.121665715,1473,1526,1581,1472,967,618,530
0.122124831,1584,1576,1587,1587,981,601,597
0.122583947,1429,1476,1519,1503,898,509,431
0.123043063,1379,1352,1473,1444,825,593,458
0.123502179,1544,1499,1557,1507,1004,616,490
0.123961295,1455,1471,1517,1477,839,495,452
0.124420411,1503,1424,1469,1400,924,532,439
0.124879526,1544,1584,1543,1568,945,564,506
0.125338642,1443,1479,1515,1454,847,516,460
0.125797758,1435,1520,1552,1529,980,609,482
0.126256874,1427,1387,1554,1491,780,448,435
0.12671599,1478,1383,1483,1449,864,537,463
0.127175106,1428,1509,1576,1413,857,602,530
0.127634222,1573,1621,1460,1556,994,597,534
0.128093338,1581,1529,1630,1472,957,587,480
0.128552454,1528,1533,1552,1489,957,629,538
0.12901157,1467,1492,1526,1504,906,639,486
0.129470686,1419,1433,1427,1318,837,459,482
0.129929801,1540,1392,1542,1458,919,556,495
0.130388917,1464,1433,1472,1429,912,595,392
0.130848033,1611,1504,1478,1424,954,567,491
0.131307149,1524,1470,1543,1501,959,526,495
0.131766265,1474,1307,1441,1427,850,491,442
0.132225381,1413,1404,1465,1384,869,463,450
0.132684497,1519,1536,1506,1484,929,586,522
0.133143613,1487,1437,1461,1394,913,482,469
0.133602729,1501,1551,1539,1560,976,600,505
0.134061845,1523,1451,1451,1403,845,496,474
0.13452096,1556,1360,1500,1400,910,563,469
0.134980076,1562,1567,1452,1552,882,574,494
0.135439192,1601,1531,1567,1519,963,620,469
0.135898308,1556,1489,1529,1406,1024,541,504
0.136357424,1557,1573,1560,1455,1013,601,516
0.13681654,1558,1455,1466,1507,943,623,488
0.137275656,1466,1387,1457,1459,882,490,405
0.137734772,1453,1338,1416,1401,891,486,429
0.138193888,1500,1528,1512,1559,898,552,497
0.138653004,1536,1500,1529,1462,975,606,496
0.13911212,1449,1406,1410,1493,923,525,399
0.139571235,1584,1632,1551,1559,1004,641,569
0.140030351,1494,1480,1577,1471,998,512,452
0.140489467,1587,1358,1448,1465,969,543,464
0.140948583,1541,1429,1529,1435,981,563,495
0.141407699,1546,1558,1480,1498,949,589,555
0.141866815,1421,1430,1506,1442,993,570,459
0.142325931,1525,1558,1466,1511,987,564,449
0.142785047,1585,1513,1506,1494,1067,603,564
0.143244163,1516,1465,1366,1476,940,553,427
0.143703279,1522,1429,1510,1436,902,564,456
0.144162394,1533,1463,1551,1568,1011,615,523
0.14462151,1462,1483,1380,1462,994,580,403
0.145080626,1524,1431,1521,1491,1011,679,492
0.145539742,1572,1450,1547,1595,1071,639,564
0.145998858,1546,1423,1585,1459,1027,692,572
0.146457974,1505,1452,1506,1405,941,589,527
0.14691709,1507,1443,1529,1505,1025,645,564
0.147376206,1536,1377,1441,1467,975,588,549
0.147835322,1580,1465,1445,1474,1053,607,507
0.148294438,1624,1418,1495,1539,1111,608,611
0.148753554,1589,1422,1507,1433,959,594,557
0.149212669,1496,1468,1444,1525,987,606,554
0.149671785,1550,1372,1514,1383,1006,594,479
0.150130901,1596,1304,1418,1470,996,546,541
0.150590017,1629,1349,1487,1543,995,583,555
0.151049133,1500,1374,1380,1366,1006,692,442
0.151508249,1565,1403,1413,1438,1037,636,481
0.151967365,1551,1296,1381,1474,1017,558,509
0.152426481,1540,1273,1427,1387,1004,614,534
0.152885597,1608,1403,1439,1372,1050,715,519
0.153344713,1480,1248,1388,1345,911,534,441
0.153803829,1687,1273,1345,1507,998,622,502
0.154262944,1681,1370,1418,1427,958,631,519
0.15472206,1657,1437,1385,1526,1060,724,683
0.155181176,1497,1216,1244,1262,899,563,455
